age,job,marital,education,housing,loan,contact,campaign,previous,poutcome,y
64,retired,married,university.degree,no,no,cellular,1,1,failure,no
56,retired,married,professional.course,yes,no,cellular,5,0,nonexistent,no
34,services,married,high.school,yes,no,telephone,2,0,nonexistent,no
34,blue-collar,married,basic.9y,yes,no,telephone,4,0,nonexistent,no
38,services,single,high.school,yes,no,cellular,3,0,nonexistent,no
46,admin.,married,university.degree,yes,no,telephone,1,0,nonexistent,no
51,technician,married,basic.6y,no,no,telephone,1,0,nonexistent,no
41,blue-collar,married,basic.4y,yes,no,cellular,1,0,nonexistent,no
38,blue-collar,married,basic.6y,no,no,cellular,7,0,nonexistent,no
31,technician,single,university.degree,yes,no,cellular,5,0,nonexistent,no
33,blue-collar,single,basic.6y,unknown,unknown,telephone,1,0,nonexistent,yes
25,admin.,single,high.school,no,yes,cellular,1,0,nonexistent,no
58,management,married,university.degree,yes,yes,cellular,1,0,nonexistent,no
48,services,single,unknown,yes,no,cellular,2,0,nonexistent,no
29,admin.,married,basic.9y,no,no,cellular,1,0,nonexistent,no
72,retired,divorced,basic.4y,no,no,cellular,1,0,nonexistent,no
42,blue-collar,married,basic.4y,yes,no,cellular,1,0,nonexistent,no
26,admin.,single,high.school,yes,no,telephone,2,0,nonexistent,no
42,admin.,married,high.school,yes,no,cellular,1,0,nonexistent,no
38,technician,married,high.school,no,no,cellular,1,0,nonexistent,no
35,management,married,basic.9y,yes,no,cellular,1,0,nonexistent,no
32,blue-collar,married,basic.9y,yes,no,cellular,1,1,success,no
72,retired,married,professional.course,yes,no,telephone,2,0,nonexistent,no
30,technician,married,professional.course,yes,no,cellular,1,2,success,yes
52,blue-collar,married,basic.9y,yes,yes,telephone,16,0,nonexistent,no
47,management,married,university.degree,no,no,cellular,3,0,nonexistent,no
45,services,married,high.school,no,no,telephone,1,0,nonexistent,no
56,retired,married,university.degree,yes,no,cellular,1,0,nonexistent,no
40,retired,single,basic.4y,yes,yes,cellular,1,0,nonexistent,no
35,management,married,high.school,yes,no,cellular,1,0,nonexistent,no
34,blue-collar,married,basic.6y,no,no,telephone,1,0,nonexistent,no
35,self-employed,married,university.degree,yes,no,telephone,5,0,nonexistent,no
41,self-employed,married,basic.6y,no,no,cellular,1,0,nonexistent,no
30,admin.,single,university.degree,no,no,cellular,1,0,nonexistent,yes
44,blue-collar,married,basic.4y,no,no,cellular,3,1,failure,no
58,entrepreneur,married,high.school,no,no,cellular,1,2,failure,no
34,management,married,university.degree,yes,no,telephone,1,0,nonexistent,no
35,services,married,high.school,no,no,telephone,2,0,nonexistent,no
38,management,single,university.degree,yes,yes,cellular,1,0,nonexistent,no
43,admin.,divorced,basic.9y,yes,no,cellular,1,0,nonexistent,no
49,entrepreneur,married,university.degree,no,no,cellular,3,0,nonexistent,no
41,technician,single,professional.course,yes,no,telephone,1,0,nonexistent,yes
52,management,divorced,university.degree,no,no,telephone,2,0,nonexistent,no
39,admin.,single,unknown,no,no,telephone,1,0,nonexistent,no
44,blue-collar,married,basic.4y,no,no,cellular,5,0,nonexistent,yes
29,blue-collar,single,basic.9y,yes,no,cellular,3,0,nonexistent,no
27,services,married,high.school,no,yes,cellular,4,0,nonexistent,no
60,retired,divorced,professional.course,yes,no,cellular,1,0,nonexistent,no
57,retired,married,high.school,yes,yes,cellular,8,0,nonexistent,no
42,entrepreneur,single,university.degree,yes,no,telephone,1,0,nonexistent,no
56,retired,divorced,university.degree,yes,no,cellular,2,0,nonexistent,no
32,blue-collar,single,basic.4y,yes,no,telephone,7,0,nonexistent,no
61,blue-collar,married,basic.6y,yes,yes,cellular,1,2,success,yes
48,technician,married,professional.course,yes,no,cellular,8,0,nonexistent,yes
47,retired,single,basic.6y,yes,no,cellular,2,0,nonexistent,no
53,housemaid,married,basic.4y,no,yes,telephone,1,1,success,yes
39,technician,single,high.school,yes,no,telephone,7,0,nonexistent,no
40,blue-collar,married,basic.6y,no,no,cellular,5,0,nonexistent,no
51,blue-collar,married,basic.4y,yes,no,telephone,2,0,nonexistent,no
48,blue-collar,married,basic.9y,yes,yes,cellular,3,0,nonexistent,no
34,admin.,married,university.degree,yes,yes,cellular,7,0,nonexistent,no
26,admin.,married,high.school,no,no,telephone,6,0,nonexistent,no
59,admin.,married,high.school,no,no,cellular,2,1,failure,no
34,blue-collar,married,unknown,no,yes,cellular,13,0,nonexistent,no
32,technician,married,university.degree,yes,no,cellular,7,0,nonexistent,no
26,services,married,high.school,yes,no,cellular,9,1,failure,no
52,services,married,high.school,yes,no,cellular,1,0,nonexistent,yes
32,entrepreneur,married,high.school,yes,no,telephone,2,0,nonexistent,no
34,admin.,married,high.school,yes,no,cellular,4,0,nonexistent,no
32,services,married,high.school,no,no,telephone,1,0,nonexistent,no
36,services,divorced,high.school,yes,no,cellular,1,0,nonexistent,no
33,blue-collar,married,basic.9y,no,no,cellular,1,2,failure,no
42,admin.,married,university.degree,yes,no,cellular,5,0,nonexistent,no
32,admin.,married,university.degree,yes,no,cellular,2,1,success,yes
25,student,single,university.degree,yes,yes,cellular,3,0,nonexistent,no
55,entrepreneur,married,professional.course,yes,no,cellular,2,0,nonexistent,no
43,blue-collar,married,basic.6y,yes,no,cellular,1,0,nonexistent,no
34,admin.,married,university.degree,no,no,cellular,2,0,nonexistent,no
33,services,married,high.school,yes,no,cellular,3,0,nonexistent,yes
53,services,divorced,university.degree,yes,yes,cellular,1,0,nonexistent,no
58,admin.,married,basic.4y,no,no,cellular,7,0,nonexistent,no
35,services,divorced,high.school,unknown,unknown,cellular,2,0,nonexistent,no
36,entrepreneur,single,university.degree,yes,no,cellular,1,0,nonexistent,yes
49,services,divorced,high.school,no,no,telephone,6,0,nonexistent,no
43,blue-collar,divorced,high.school,yes,no,cellular,2,0,nonexistent,yes
25,admin.,single,high.school,yes,no,cellular,1,0,nonexistent,no
37,technician,single,professional.course,yes,no,cellular,1,0,nonexistent,no
35,blue-collar,single,basic.9y,no,no,telephone,2,0,nonexistent,no
51,admin.,married,university.degree,yes,no,cellular,1,0,nonexistent,no
31,admin.,single,university.degree,yes,no,cellular,2,0,nonexistent,yes
49,services,married,high.school,yes,no,cellular,1,0,nonexistent,no
45,blue-collar,divorced,professional.course,no,no,cellular,1,0,nonexistent,no
27,blue-collar,married,basic.4y,yes,no,cellular,1,0,nonexistent,no
34,services,single,high.school,no,yes,telephone,6,0,nonexistent,no
29,technician,single,university.degree,yes,no,cellular,1,0,nonexistent,no
38,blue-collar,married,basic.4y,no,no,telephone,1,0,nonexistent,no
34,self-employed,single,professional.course,yes,no,cellular,2,1,failure,no
43,blue-collar,married,basic.9y,no,no,telephone,1,0,nonexistent,no
26,services,single,high.school,no,no,telephone,4,0,nonexistent,no
34,entrepreneur,married,professional.course,no,no,telephone,2,0,nonexistent,no
47,technician,married,basic.9y,yes,no,telephone,1,0,nonexistent,no
46,admin.,married,high.school,no,no,cellular,10,0,nonexistent,no
36,technician,single,university.degree,yes,no,cellular,2,0,nonexistent,no
33,unknown,married,unknown,no,no,cellular,1,0,nonexistent,no
45,services,married,basic.6y,yes,yes,cellular,3,0,nonexistent,no
50,services,single,basic.6y,no,no,cellular,1,1,success,no
27,housemaid,single,high.school,no,no,cellular,2,0,nonexistent,no
27,technician,single,university.degree,yes,yes,cellular,1,0,nonexistent,yes
39,admin.,divorced,university.degree,no,no,cellular,2,0,nonexistent,no
41,technician,married,professional.course,yes,no,cellular,3,0,nonexistent,no
33,admin.,married,university.degree,no,no,cellular,1,0,nonexistent,no
30,blue-collar,married,basic.9y,yes,yes,telephone,2,0,nonexistent,no
32,admin.,married,university.degree,yes,no,cellular,1,0,nonexistent,no
40,blue-collar,married,basic.6y,yes,no,cellular,2,1,failure,no
34,admin.,married,high.school,no,no,telephone,1,0,nonexistent,yes
22,student,single,high.school,no,no,cellular,1,0,nonexistent,no
39,housemaid,married,professional.course,no,no,cellular,1,0,nonexistent,no
38,admin.,single,university.degree,yes,no,telephone,1,0,nonexistent,no
34,unemployed,single,university.degree,yes,no,cellular,1,0,nonexistent,no
44,admin.,single,university.degree,no,no,cellular,1,2,failure,no
38,blue-collar,single,basic.6y,yes,yes,cellular,1,1,failure,no
32,management,married,high.school,yes,yes,telephone,4,0,nonexistent,no
32,entrepreneur,married,high.school,yes,no,cellular,1,1,failure,no
50,unemployed,married,professional.course,no,no,cellular,3,0,nonexistent,no
23,blue-collar,single,basic.9y,yes,no,telephone,1,0,nonexistent,no
52,self-employed,single,university.degree,yes,no,telephone,1,0,nonexistent,no
45,admin.,married,university.degree,no,no,cellular,2,0,nonexistent,no
57,retired,married,high.school,no,no,telephone,1,0,nonexistent,no
33,admin.,divorced,university.degree,no,no,cellular,1,0,nonexistent,no
21,blue-collar,married,basic.9y,no,no,cellular,2,0,nonexistent,no
26,student,single,high.school,yes,yes,cellular,1,2,success,yes
31,blue-collar,married,basic.6y,unknown,unknown,telephone,1,0,nonexistent,yes
31,admin.,married,university.degree,no,no,cellular,3,0,nonexistent,yes
44,services,married,unknown,yes,yes,telephone,3,0,nonexistent,no
34,admin.,married,university.degree,yes,yes,cellular,3,0,nonexistent,no
41,blue-collar,married,basic.4y,yes,no,telephone,1,0,nonexistent,no
41,blue-collar,married,basic.4y,no,no,telephone,2,0,nonexistent,no
43,unemployed,divorced,basic.9y,yes,yes,telephone,2,0,nonexistent,no
30,admin.,single,university.degree,no,no,cellular,3,0,nonexistent,no
44,technician,divorced,university.degree,no,no,cellular,1,0,nonexistent,no
52,housemaid,married,basic.4y,yes,no,cellular,24,0,nonexistent,no
32,blue-collar,married,basic.6y,yes,no,telephone,3,0,nonexistent,no
32,blue-collar,single,basic.9y,yes,no,cellular,4,0,nonexistent,no
28,admin.,single,high.school,yes,no,cellular,2,1,failure,no
60,retired,married,basic.4y,no,no,cellular,3,0,nonexistent,no
55,blue-collar,married,illiterate,no,no,cellular,2,0,nonexistent,no
46,blue-collar,married,basic.6y,yes,no,cellular,2,0,nonexistent,no
32,blue-collar,married,basic.4y,yes,no,telephone,2,0,nonexistent,no
30,entrepreneur,single,university.degree,yes,no,cellular,1,1,failure,yes
39,blue-collar,married,basic.9y,unknown,unknown,telephone,4,0,nonexistent,no
32,admin.,married,high.school,yes,no,cellular,2,0,nonexistent,no
29,admin.,single,high.school,unknown,unknown,cellular,1,0,nonexistent,no
34,technician,married,university.degree,no,no,cellular,1,0,nonexistent,no
60,retired,married,high.school,yes,no,telephone,2,0,nonexistent,no
41,admin.,single,high.school,no,no,cellular,4,1,failure,no
48,technician,married,high.school,no,no,telephone,8,0,nonexistent,no
57,blue-collar,married,unknown,yes,no,cellular,5,0,nonexistent,no
38,housemaid,married,university.degree,yes,no,cellular,2,0,nonexistent,no
31,admin.,single,university.degree,no,no,telephone,2,0,nonexistent,no
56,admin.,married,professional.course,yes,no,cellular,1,1,failure,no
31,technician,single,professional.course,yes,no,cellular,4,0,nonexistent,no
39,admin.,married,university.degree,yes,no,cellular,9,0,nonexistent,no
29,technician,single,university.degree,no,no,cellular,2,0,nonexistent,no
52,admin.,divorced,high.school,yes,no,cellular,3,0,nonexistent,no
50,housemaid,divorced,high.school,no,no,telephone,2,0,nonexistent,no
44,technician,single,unknown,yes,no,telephone,1,0,nonexistent,no
25,blue-collar,single,basic.4y,no,yes,cellular,5,0,nonexistent,no
49,services,married,high.school,yes,no,cellular,8,0,nonexistent,no
46,admin.,married,university.degree,yes,no,cellular,2,0,nonexistent,no
28,services,married,unknown,no,no,telephone,2,0,nonexistent,no
40,blue-collar,married,basic.9y,yes,no,cellular,4,0,nonexistent,no
52,blue-collar,married,basic.4y,yes,no,cellular,5,0,nonexistent,yes
31,blue-collar,single,professional.course,no,yes,telephone,1,0,nonexistent,no
53,management,divorced,university.degree,no,no,cellular,1,0,nonexistent,no
34,admin.,single,university.degree,no,yes,cellular,1,0,nonexistent,yes
34,admin.,married,high.school,yes,no,telephone,1,0,nonexistent,no
35,housemaid,married,university.degree,no,yes,cellular,1,0,nonexistent,no
35,blue-collar,married,basic.9y,yes,no,telephone,2,0,nonexistent,no
36,admin.,married,high.school,yes,no,telephone,1,0,nonexistent,no
36,blue-collar,married,basic.9y,yes,no,cellular,2,2,failure,no
30,admin.,married,university.degree,yes,no,cellular,1,1,failure,yes
49,blue-collar,single,basic.4y,no,no,cellular,1,0,nonexistent,no
28,technician,single,professional.course,no,no,cellular,1,0,nonexistent,no
30,admin.,single,university.degree,yes,yes,telephone,9,0,nonexistent,no
50,blue-collar,married,high.school,no,no,telephone,1,0,nonexistent,no
59,housemaid,single,professional.course,no,no,cellular,1,0,nonexistent,no
56,services,married,high.school,yes,no,cellular,2,0,nonexistent,no
38,blue-collar,married,basic.9y,no,no,cellular,2,0,nonexistent,no
59,admin.,married,professional.course,yes,no,cellular,1,0,nonexistent,no
47,technician,married,university.degree,no,no,cellular,1,1,failure,no
33,services,married,high.school,yes,yes,telephone,1,0,nonexistent,no
28,services,single,high.school,yes,no,cellular,1,0,nonexistent,no
34,admin.,single,high.school,yes,no,cellular,1,0,nonexistent,no
31,technician,married,university.degree,no,no,telephone,1,0,nonexistent,no
34,technician,married,professional.course,no,no,cellular,1,0,nonexistent,no
34,technician,single,professional.course,yes,no,cellular,1,0,nonexistent,no
35,admin.,married,high.school,yes,no,telephone,2,0,nonexistent,no
24,admin.,single,high.school,no,no,cellular,2,0,nonexistent,no
51,blue-collar,married,basic.4y,no,yes,telephone,4,0,nonexistent,no
35,services,single,high.school,yes,yes,cellular,1,0,nonexistent,no
31,services,single,high.school,no,no,cellular,4,0,nonexistent,no
38,housemaid,married,basic.6y,yes,yes,telephone,2,0,nonexistent,no
48,admin.,divorced,university.degree,yes,no,cellular,6,0,nonexistent,no
59,retired,married,high.school,unknown,unknown,telephone,2,0,nonexistent,no
22,student,single,high.school,yes,no,cellular,2,0,nonexistent,no
35,admin.,married,high.school,yes,no,cellular,1,0,nonexistent,yes
54,self-employed,married,basic.9y,yes,no,cellular,1,0,nonexistent,no
41,management,divorced,university.degree,yes,yes,telephone,2,0,nonexistent,no
35,technician,married,university.degree,yes,no,cellular,1,0,nonexistent,yes
52,blue-collar,married,basic.4y,yes,no,telephone,1,0,nonexistent,no
34,blue-collar,married,basic.4y,yes,no,telephone,1,0,nonexistent,no
35,services,single,high.school,no,no,cellular,1,0,nonexistent,no
32,blue-collar,single,basic.6y,unknown,unknown,telephone,4,0,nonexistent,no
52,blue-collar,divorced,basic.4y,no,no,cellular,1,0,nonexistent,no
21,blue-collar,single,basic.9y,yes,no,cellular,2,0,nonexistent,no
31,blue-collar,single,basic.9y,no,yes,cellular,2,0,nonexistent,no
30,admin.,single,university.degree,yes,yes,telephone,1,0,nonexistent,yes
53,management,married,high.school,yes,no,cellular,3,0,nonexistent,no
28,blue-collar,single,professional.course,yes,no,cellular,2,0,nonexistent,no
44,technician,married,professional.course,yes,no,telephone,2,0,nonexistent,no
27,services,single,university.degree,yes,yes,cellular,6,1,failure,no
27,technician,married,university.degree,no,no,telephone,3,0,nonexistent,no
42,technician,married,professional.course,yes,no,cellular,1,0,nonexistent,yes
29,technician,single,professional.course,yes,no,telephone,1,0,nonexistent,yes
52,entrepreneur,married,university.degree,yes,no,telephone,5,0,nonexistent,no
32,technician,single,professional.course,yes,no,cellular,1,0,nonexistent,no
50,retired,divorced,high.school,yes,no,cellular,1,0,nonexistent,yes
27,admin.,married,university.degree,no,yes,cellular,6,1,failure,yes
43,services,married,basic.6y,yes,yes,cellular,5,0,nonexistent,no
37,unemployed,single,university.degree,yes,no,cellular,1,0,nonexistent,no
58,blue-collar,married,basic.4y,yes,no,telephone,2,0,nonexistent,yes
37,management,married,university.degree,yes,yes,cellular,2,0,nonexistent,no
28,blue-collar,married,basic.9y,yes,yes,telephone,2,0,nonexistent,no
43,services,married,professional.course,yes,no,telephone,2,0,nonexistent,no
60,retired,married,basic.4y,yes,no,cellular,2,0,nonexistent,yes
30,blue-collar,single,basic.9y,yes,no,cellular,3,1,failure,no
41,admin.,single,university.degree,yes,yes,telephone,5,0,nonexistent,no
38,technician,married,university.degree,no,no,cellular,2,2,failure,yes
49,blue-collar,single,high.school,yes,no,cellular,3,0,nonexistent,no
47,blue-collar,single,basic.9y,yes,no,cellular,1,0,nonexistent,no
40,blue-collar,single,high.school,no,no,cellular,1,0,nonexistent,no
46,admin.,married,high.school,yes,no,cellular,1,1,failure,no
29,blue-collar,married,basic.9y,yes,yes,telephone,7,0,nonexistent,no
45,blue-collar,married,basic.9y,yes,no,cellular,1,0,nonexistent,no
32,technician,single,professional.course,yes,no,telephone,3,0,nonexistent,no
30,technician,married,basic.9y,yes,no,cellular,4,0,nonexistent,no
38,blue-collar,married,basic.6y,no,no,cellular,17,0,nonexistent,no
29,technician,married,professional.course,yes,no,cellular,2,0,nonexistent,no
29,student,single,university.degree,yes,no,cellular,1,0,nonexistent,no
45,blue-collar,single,high.school,no,no,cellular,4,0,nonexistent,no
53,services,married,basic.9y,yes,no,telephone,4,0,nonexistent,no
26,technician,married,basic.6y,no,yes,telephone,1,0,nonexistent,no
27,blue-collar,single,basic.9y,yes,no,cellular,3,0,nonexistent,no
44,technician,divorced,university.degree,yes,no,cellular,5,0,nonexistent,no
30,admin.,single,university.degree,yes,no,cellular,1,0,nonexistent,no
31,admin.,married,high.school,no,no,cellular,2,1,failure,no
36,technician,married,professional.course,yes,no,cellular,5,0,nonexistent,no
37,admin.,single,university.degree,no,no,cellular,5,0,nonexistent,no
36,blue-collar,married,basic.9y,no,yes,telephone,1,0,nonexistent,no
56,retired,married,basic.9y,yes,no,telephone,20,0,nonexistent,no
45,self-employed,married,basic.4y,no,no,cellular,2,0,nonexistent,no
56,services,married,high.school,no,no,telephone,3,0,nonexistent,no
35,admin.,single,high.school,yes,no,telephone,4,0,nonexistent,no
29,admin.,single,high.school,no,no,cellular,1,2,failure,no
58,technician,married,professional.course,yes,no,cellular,2,0,nonexistent,no
28,admin.,single,university.degree,yes,no,cellular,2,0,nonexistent,no
31,admin.,single,university.degree,yes,no,telephone,1,0,nonexistent,no
34,blue-collar,married,professional.course,no,no,cellular,2,0,nonexistent,no
52,services,married,high.school,yes,no,telephone,1,0,nonexistent,no
42,admin.,single,university.degree,yes,no,telephone,4,0,nonexistent,no
24,blue-collar,single,basic.9y,yes,no,cellular,3,0,nonexistent,no
31,admin.,single,basic.9y,yes,yes,cellular,4,0,nonexistent,no
41,blue-collar,divorced,basic.4y,yes,no,telephone,1,0,nonexistent,yes
53,blue-collar,single,basic.9y,yes,no,telephone,3,0,nonexistent,no
37,admin.,single,high.school,no,no,telephone,4,3,failure,no
37,blue-collar,married,basic.9y,yes,no,telephone,1,0,nonexistent,no
34,admin.,single,university.degree,yes,no,cellular,1,0,nonexistent,no
44,management,married,university.degree,yes,no,cellular,2,0,nonexistent,no
45,blue-collar,married,basic.4y,no,no,cellular,2,0,nonexistent,no
53,admin.,married,professional.course,yes,no,telephone,2,0,nonexistent,no
71,retired,divorced,basic.4y,no,yes,cellular,1,1,failure,no
35,technician,married,professional.course,yes,no,telephone,2,0,nonexistent,no
23,blue-collar,single,basic.9y,no,no,cellular,4,1,failure,yes
24,admin.,single,university.degree,yes,no,telephone,1,0,nonexistent,no
26,services,single,high.school,yes,no,cellular,1,0,nonexistent,no
31,unemployed,divorced,university.degree,yes,yes,cellular,7,0,nonexistent,no
46,admin.,divorced,university.degree,yes,no,cellular,1,0,nonexistent,no
45,management,married,unknown,yes,no,telephone,3,0,nonexistent,no
36,blue-collar,single,basic.6y,yes,no,cellular,1,0,nonexistent,no
34,housemaid,divorced,basic.6y,no,no,telephone,3,0,nonexistent,no
28,admin.,married,university.degree,no,no,telephone,1,0,nonexistent,no
56,services,single,high.school,no,yes,cellular,3,0,nonexistent,yes
36,admin.,single,university.degree,no,no,cellular,2,0,nonexistent,no
32,services,married,basic.4y,no,no,cellular,3,0,nonexistent,no
35,blue-collar,married,basic.4y,no,no,cellular,2,0,nonexistent,no
28,services,married,high.school,yes,no,telephone,2,0,nonexistent,no
44,admin.,married,university.degree,no,no,telephone,3,0,nonexistent,no
41,admin.,single,university.degree,no,yes,cellular,2,1,failure,no
33,blue-collar,married,basic.6y,no,no,cellular,1,0,nonexistent,no
